count,magx,magy,magz
0,-20.75,46.0625,4.25
1,-12.6875,45.1875,-10.6875
2,-13.6875,27.75,-25.0625
3,-24.5,14.5625,-38.0625
4,-14.0625,12.5625,-40.25
5,-18.1875,8.5625,-39.5
6,-16.5625,0.5625,-41.6875
7,-20.5625,-0.0625,-40.6875
8,-22.25,-1.875,-38.75
9,-24.75,-3.0625,-38.375
10,-25.5,-3.375,-36.875
11,-32.5625,-6.375,-33.5625
12,-33.0625,-17.0625,-32.0
13,-24.1875,-35.0625,-26.0
14,-16.75,-34.6875,-30.6875
15,-11.1875,-28.5,-38.875
16,-8.25,-20.1875,-44.1875
17,-1.5625,-13.25,-46.375
18,4.75,-8.0,-46.0
19,6.5625,-6.5,-45.5625
20,5.875,-6.0625,-46.375
21,13.5,-7.875,-43.6875
22,24.375,-11.1875,-36.5
23,32.6875,-9.75,-28.375
24,40.25,-11.5625,-16.1875
25,42.5625,-11.5625,-6.25
26,43.375,-11.0,2.875
27,43.0,-9.875,7.0625
28,43.75,-8.375,4.6875
29,42.25,-5.5,-6.0625
30,39.875,-2.875,-18.875
31,33.0,-2.0625,-29.0625
32,24.875,-5.0,-37.875
33,23.875,-10.0625,-38.5625
34,29.25,-13.6875,-31.5625
35,35.25,-16.5625,-23.0625
36,40.375,-15.75,-13.0625
37,41.75,-12.875,-8.875
38,40.875,-11.5,-14.5625
39,33.5,-11.0625,-28.875
40,19.875,-8.1875,-41.6875
41,1.1875,-4.1875,-47.0625
42,-10.25,-0.5,-45.5625
43,-13.5,23.0,-40.1875
44,-24.1875,31.375,-27.0625
45,-30.0,21.25,-32.5
46,-35.375,12.5,-30.875
47,-43.75,7.75,-16.1875
48,-46.25,10.375,-9.5625
49,-39.0625,10.6875,-25.75
50,-22.375,11.0625,-41.5625
51,-12.1875,4.875,-45.5
52,-25.6875,5.5625,-41.0
53,-42.875,2.375,-20.0625
54,-46.875,2.0,-1.875
55,-45.75,11.0625,-1.1875
56,-41.375,15.0625,-20.0
57,-23.1875,15.5,-39.1875
58,-8.5625,13.25,-45.375
59,-22.75,14.375,-39.5625
60,-39.5,13.375,-24.1875
61,-42.0625,17.6875,-15.6875
62,-35.875,22.75,-24.0625
63,-17.6875,25.375,-37.1875
64,4.6875,23.1875,-39.875
65,14.375,37.0625,-20.5
