count,magx,magy,magz
66,21.0,35.375,-19.6875
67,6.0625,26.6875,-36.6875
68,-19.6875,19.5,-38.6875
69,-21.75,8.6875,-42.0
70,-2.0625,7.5,-46.1875
71,8.75,31.6875,-30.6875
72,17.5625,42.75,1.25
73,22.0,41.25,-3.6875
74,18.375,39.5,-15.0
75,8.5625,34.0,-28.875
76,-0.1875,24.6875,-39.375
77,-3.75,19.875,-41.75
78,3.5,33.0625,-32.75
79,10.875,43.25,-10.375
80,9.6875,43.25,-10.0
81,-6.25,38.6875,-24.6875
82,-16.5,24.0,-37.75
83,-27.25,21.75,-33.875
84,-36.25,10.375,-29.5625
85,-36.75,-10.5,-28.375
86,-24.875,-24.0625,-31.875
87,-14.0,-33.375,-29.0625
88,-11.375,-39.5625,-20.5625
89,-11.5,-45.5,-6.0625
90,-11.5,-40.0,-22.6875
91,-6.6875,-23.0,-40.5
92,-1.6875,-11.6875,-45.5
93,-6.375,-24.375,-38.1875
94,-21.6875,-30.5625,-25.75
95,-32.5625,-29.6875,-14.1875
96,-31.25,-27.5,-19.5625
97,-25.75,-16.875,-35.875
98,-8.0,-9.6875,-45.5
99,-4.75,-20.5,-42.25
100,-6.375,-34.375,-31.875
101,-11.375,-43.5625,-12.5625
102,-15.75,-39.1875,-20.0
103,-16.5,-27.25,-34.25
104,-17.1875,-24.375,-35.5
105,-15.0,-36.0,-23.875
106,-29.0,-34.0,-2.75
107,-37.0,-19.5,21.875
108,-33.0,0.0625,34.0625
109,-23.875,5.375,42.6875
110,-13.0,15.6875,43.6875
111,-4.25,14.875,45.5
112,-8.5625,9.0625,47.0625
113,-19.5,0.0,43.5625
114,-30.375,-6.1875,35.6875
115,-28.25,2.1875,39.0625
116,-14.5,8.375,45.5625
117,-6.5,10.5625,46.375
118,-13.0,9.375,44.75
119,-25.0,5.75,39.75
120,-33.375,2.1875,34.0
121,-27.1875,-3.25,39.0
122,-28.0,-12.0625,35.0625
123,-40.25,-21.875,5.1875
124,-38.75,-16.1875,-22.6875
125,-28.25,-1.5625,-38.75
126,-15.1875,2.0625,-44.0625
127,-10.75,-12.375,-44.5
128,-19.5,-20.5,-37.875
129,-30.5,-13.875,-33.1875
130,-29.75,-3.6875,-36.25
131,-16.5625,-1.75,-43.6875
132,-5.25,-6.5625,-46.375
133,-10.0625,-16.5,-44.5
134,-21.6875,-23.25,-34.375
135,-34.5,-21.1875,-24.1875
136,-40.0,-11.0,-23.375
137,-30.5,5.0,-35.375
138,-19.75,-3.25,-42.0625
139,-23.75,-24.0625,-32.6875
140,-31.5,-30.75,-16.0625
141,-26.75,-20.75,-35.0
142,-15.5,-10.25,-44.5
143,-11.5625,-4.5,-44.5
144,-4.375,0.1875,-44.5
145,-0.0625,0.875,-42.5625
146,3.1875,3.0625,-41.5
147,1.1875,7.5,-42.5625
148,-0.375,11.375,-43.0
149,1.0,9.5625,-44.375
150,2.0625,10.6875,-42.875
151,2.0625,10.0,-42.5
152,-0.375,8.0625,-43.25
153,-3.0,7.75,-42.5625
154,-4.0,9.5,-44.1875
155,-3.25,15.0,-45.25
156,1.5625,19.25,-45.6875
157,-3.875,21.375,-45.25
158,-8.875,24.25,-43.375
159,-8.875,24.25,-44.875
160,-9.25,24.25,-44.5
161,-10.0,25.0625,-44.1875
162,-9.5625,24.1875,-44.1875
163,-8.875,23.75,-44.1875
164,-10.0,24.1875,-43.75
165,-9.5625,24.5625,-44.1875
